topics,subject,object,label
customer relationship management; e-commerce systems,customer relationship management,e-commerce systems,1
rayleigh-fading channels; contour followers,rayleigh-fading channels,contour followers,3
machine learning; back-propagation neural networks,machine learning,back-propagation neural networks,0
variational approximation; bayesian framework,variational approximation,bayesian framework,1
rdf graph; activity diagrams,rdf graph,activity diagrams,3
design concerns; software architecture,design concerns,software architecture,1
multi-agent system; computer applications,multi-agent system,computer applications,3
radial basis; radial basis function neural networks,radial basis,radial basis function neural networks,2
radio receivers; software-defined radio,radio receivers,software-defined radio,0
embedded memory; built in self test,embedded memory,built in self test,1
alpsm; web searching,alpsm,web searching,3
capacity regions; agglomerative hierarchical clustering,capacity regions,agglomerative hierarchical clustering,3
question answering system; nlp,question answering system,nlp,1
disk array; disk arrays,disk array,disk arrays,2
binary particle swarm optimization; pso algorithm,binary particle swarm optimization,pso algorithm,1
multi-agent; adaptive system,multi-agent,adaptive system,3
robot; syntactic features,robot,syntactic features,3
structured query language; sql,structured query language,sql,2
p2p system; distributed computer systems,p2p system,distributed computer systems,1
transmission ranges; wsn,transmission ranges,wsn,1
back-propagation neural network; deep learning,back-propagation neural network,deep learning,0
logic synthesis; logic gate,logic synthesis,logic gate,1
high resolution image; wavelength division multiplexing,high resolution image,wavelength division multiplexing,3
multi-tier; architectural pattern,multi-tier,architectural pattern,1
mass functions; wavelet transforms,mass functions,wavelet transforms,3
classification performances; k-nearest neighbor classifier,classification performances,k-nearest neighbor classifier,0
bayesian model; gibbs sampling,bayesian model,gibbs sampling,0
architecture knowledge sharing; architectural knowledge sharing,architecture knowledge sharing,architectural knowledge sharing,2
multi agent system; dependence analysis,multi agent system,dependence analysis,3
e-commerce systems; customer relationship management,e-commerce systems,customer relationship management,0
svm classifiers; svm,svm classifiers,svm,2
cim; wireless sensor network,cim,wireless sensor network,3
architectural styles; service oriented architecture,architectural styles,service oriented architecture,0
atam; software architecture evaluation,atam,software architecture evaluation,1
gated recurrent unit; back-propagation neural networks,gated recurrent unit,back-propagation neural networks,1
fast handovers; ict,fast handovers,ict,3
e-commerce applications; localization algorithms,e-commerce applications,localization algorithms,3
particle swarm; particle swarm optimization algorithms,particle swarm,particle swarm optimization algorithms,2
microservices architecture; microservices,microservices architecture,microservices,2
orthogonal frequency-division multiplexing (ofdm); ber performance,orthogonal frequency-division multiplexing (ofdm),ber performance,0
bayesian methods; energy savings,bayesian methods,energy savings,3
robot; snmp,robot,snmp,3
architecture analysis; dependence analysis,architecture analysis,dependence analysis,0
learning activities; e-learning,learning activities,e-learning,1
moving objects; detection of moving object,moving objects,detection of moving object,0
fair exchange; quadratic lyapunov function,fair exchange,quadratic lyapunov function,3
natural language processing; relevance models,natural language processing,relevance models,0
gene product; multiagent system,gene product,multiagent system,3
microphone arrays; quality concerns,microphone arrays,quality concerns,3
human-computer interaction; video games,human-computer interaction,video games,0
buffer circuits; semantic search,buffer circuits,semantic search,3
resource description framework; rdf graph,resource description framework,rdf graph,0
discrete particle swarm optimization algorithm; pso algorithms,discrete particle swarm optimization algorithm,pso algorithms,1
formal methods; vertical handovers,formal methods,vertical handovers,3
variational bayesian; bayesian approaches,variational bayesian,bayesian approaches,1
mmorpgs; mmorpg,mmorpgs,mmorpg,2
unstructured p2p network; peer-to-peer (p2p),unstructured p2p network,peer-to-peer (p2p),1
